rec_tourist_spots_geometry,rec_tourist_spots_tag,rec_tourist_spots_address,rec_tourist_spots_street,rec_tourist_spots_city
POINT (-6.1641709 53.5261781),restaurant,Indo Kitchen,Station Road,Lusk
POINT (-6.253083 53.3727647),bar,Bar@Skylon,Drumcondra Road Upper,Dublin
POINT (-6.2467271 53.377485),bar,Bar@Regency,,
POINT (-6.1756078 53.3695368),cafe,Olive's Room,,
POINT (-6.1539054 53.4513054),pub,Fowler’s,New Street,Malahide
POINT (-6.1543829 53.4507207),pub,Duffy’s,Main Street,Malahide
POINT (-6.154074 53.4521997),cafe,Starbucks,,Malahide
POINT (-6.1536307 53.4513369),pub,Gibney’s,New Street,Malahide
POINT (-6.1536566 53.4548748),restaurant,Geisha,,
POINT (-6.252515 53.3509444),cafe,Insomnia,Talbot Street,
POINT (-6.2529113 53.350879),pub,74 Talbot,Talbot Street,Dublin
POINT (-6.157977 53.4029477),restaurant,Park Lane,Main Street,
POINT (-6.1613376 53.4022449),bar,Trinity Sports & Leisure Club & Bar,,
POINT (-6.2497907 53.3514108),pub,Madigans Bar & Restaurant,Amiens Street,Dublin
POINT (-6.2328181 53.470915),cafe,La Boulangerie Francaise,,
POINT (-6.2328129 53.4712798),cafe,Look Mam No Hands,,
POINT (-6.2546463 53.3687938),cafe,Insomnia,Drumcondra Road Upper,
POINT (-6.2546573 53.3582142),restaurant,Savoy Takeaway,Fitzgibbon Street,Dublin
POINT (-6.2544615 53.3589749),restaurant,Wallace’s Asti,Russell Street,Dublin
POINT (-6.1689209 53.4386353),cafe,Insomnia,,
POINT (-6.2511177 53.3509762),restaurant,Thai Spice,Talbot Place,Dublin
POINT (-6.171016 53.4034379),restaurant,Romayo's,Main Street,
POINT (-6.1638615 53.4202419),restaurant,,,
POINT (-6.1484896 53.4876672),pub,Keeling’s,Main Street,Donabate
POINT (-6.1490041 53.4861543),restaurant,Chungs Chinese Restaurant,Ballalease West,Donabate
POINT (-6.1488968 53.4864735),restaurant,Pasta Castello,Main Street,
POINT (-6.1250143 53.4324726),restaurant,Lali's,Strand Road,
POINT (-6.2449135 53.4604175),pub,Graingers The Manor Inn,Manor Mall Shopping Centre,
POINT (-6.1625014 53.3951322),pub,,Grange Road,Dublin
POINT (-6.1619926 53.3947093),cafe,,Grange Road,Dublin
POINT (-6.0694707 53.3923107),restaurant,Aqua,West Pier,Howth
POINT (-6.0639896 53.388225),pub,O’Connell’s,East Pier,Howth
POINT (-6.0665478 53.387669),cafe,Il Panorama Café,Harbour Road,
POINT (-6.0663234 53.3870047),pub,Harbour Bar,Church Street,Howth
POINT (-6.0635861 53.3882206),restaurant,King Sitric,,
POINT (-6.2241901 53.3557457),cafe,Munchies,Dublin Port Tunnel,
POINT (-6.2495435 53.3523358),pub,J. & M. Cleary,Amiens Street,Dublin
POINT (-6.2177331 53.3763212),restaurant,New Emperor,May Park,
POINT (-6.2154133 53.5369222),cafe,A-Cafe,,
POINT (-6.2154325 53.5372122),cafe,Costa,,
POINT (-6.2216841 53.4588996),restaurant,Swords Garden,,
POINT (-6.2206297 53.4562481),bar,Wright's Café Bar,Malahide Road,Swords
POINT (-6.248081 53.4304124),cafe,Soho Café,,
POINT (-6.221083 53.457962),restaurant,D'Chilli Shaker,,
POINT (-6.2265234 53.4447655),cafe,Esquires Coffee,,
POINT (-6.2271321 53.3571866),cafe,,EastPoint Business Park,
POINT (-6.1248004 53.4336707),restaurant,koba,Strand Road,
POINT (-6.108987 53.3902053),cafe,Starbucks,,
POINT (-6.1239719 53.4351695),pub,The Oasis Bar & Grill,Strand Road,Portmarnock
POINT (-6.0653171 53.3846515),pub,McNeill’s,Main Street,Howth
POINT (-6.2178235 53.4634271),cafe,The Gourmet Food Parlour,,
POINT (-6.1239373 53.4353101),nightclub,Tamango,Strand Road,Portmarnock
POINT (-6.0962353 53.5227274),cafe,Genoa Cafe,,Rush
POINT (-6.0924698 53.5222844),pub,,,
POINT (-6.0905574 53.5218348),pub,The Michael Collins,Lower Main Street,Rush
POINT (-6.2435438 53.4014689),bar,Clonliffe Harriers Club Bar,,
POINT (-6.1413081 53.4497521),restaurant,Oscar Taylors,Coast Road,Malahide
POINT (-6.236821 53.4265001),cafe,ALSAA + Kyle's Café Upstairs,,
POINT (-6.1432618 53.4896373),cafe,Cafe Natural,,
POINT (-6.11525 53.478949),pub,,,
POINT (-6.114952 53.479017),restaurant,Samphire,Balcarrick Road,"Corballis, Donabate"
POINT (-6.0717816 53.3904356),restaurant,The Brass Monkey,West Pier,Howth
POINT (-6.0717123 53.3905146),restaurant,The Pier House,West Pier,Howth
POINT (-6.2448712 53.4278713),restaurant,The Angel's Share Bar and Restaurant,Corballis Road South,Dublin
POINT (-6.2341205 53.35297),cafe,Sean O'Casey Community Centre Café,Saint Mary's Road North,Dublin
POINT (-6.102886 53.521864),theatre,The Millbank Theatre,,Rush
POINT (-6.1834132 53.3882621),pub,Edenmore House,Edenmore Avenue,Raheny
POINT (-6.1809861 53.3888986),pub,The Concorde,Edenmore Avenue,Raheny
POINT (-6.2459813 53.3884621),pub,The Comet,Swords Road,
POINT (-6.2401557 53.3628264),pub,,,
POINT (-6.242264 53.362621),pub,Meagher's,,
POINT (-6.2474852 53.3779234),cafe,You & Me Restaurant,Seven Oaks,
POINT (-6.2287076 53.3629792),pub,Barcode,,
POINT (-6.2569405 53.3596909),pub,The Hideout House,Cambell's Row,
POINT (-6.1944471 53.3615924),cafe,Nolan's Coffee Shop,Vernon Avenue,
POINT (-6.2199524 53.4572577),restaurant,Indie Spice,,
POINT (-6.2191633 53.4546763),cinema,Movies@Swords,Malahide Road,Swords
POINT (-6.2269266 53.3572808),pub,EpiCenter,EastPoint Business Park,
POINT (-6.1896797 53.3594872),pub,Pebble Beach,Conquer Hill Road,Clontarf
POINT (-6.2010789 53.3889191),restaurant,Joe's Village Kitchen,,
POINT (-6.2008612 53.3888556),pub,Kyles,,
POINT (-6.2149245 53.3964581),pub,Dusk Nightclub,Oscar Traynor Road,Dublin
POINT (-6.2115954 53.3866526),pub,Ardlea Inn,Ardlea Road,Dublin
POINT (-6.2155708 53.3836222),restaurant,Graham O'Sullivan,Kilmore Road,Dublin
POINT (-6.2068448 53.383917),pub,The Roundabout,,
POINT (-6.2081899 53.3811625),restaurant,Madhobi,,
POINT (-6.2100226 53.3802882),pub,The Goblet,,
POINT (-6.2495222 53.3512808),cafe,AMT Coffee,Amiens Street,
POINT (-6.2179398 53.4623533),pub,Harp Bar,,
POINT (-6.2178791 53.4626062),bar,Jade Wine Bar,North Street,Swords
POINT (-6.2433328 53.4527893),pub,Peacocks Steakhouse,Rathingle Road,Swords
POINT (-6.2469428 53.4285487),cafe,Leopold,,
POINT (-6.2174302 53.3764812),restaurant,Celistine's Brasserie,,
POINT (-6.2549726 53.3505551),restaurant,Le Bon Crubeen,Talbot Street,Dublin
POINT (-6.2542696 53.3508625),pub,O’Shea’s,Talbot Street,Dublin
POINT (-6.2322211 53.3564906),cafe,Starbucks,,
POINT (-6.1518191 53.4516128),restaurant,Bon Appétit,Saint James Terrace,Malahide
POINT (-6.2237983 53.4457248),restaurant,TGI Fridays,,
POINT (-6.1536822 53.4516473),bar,Gilbert & Wright,,
POINT (-6.1236878 53.3893347),pub,The Elphin,Baldoyle Road,
POINT (-6.2299289 53.3498005),pub,The Green Room,Upper Sheriff Street,
POINT (-6.2291889 53.3548879),pub,Seabank House,,
POINT (-6.2460175 53.3550033),pub,The Strand House,North Strand Road,Dublin
POINT (-6.2493006 53.3525793),pub,Mullet’s,Amiens Street,Dublin
POINT (-6.1555082 53.3859746),pub,The Foxhound Inn,,
POINT (-6.0686935 53.3876873),pub,The Waterside,Harbour Road,Howth
POINT (-6.067474 53.387688),cafe,Maud's,Harbour Road,
POINT (-6.06682 53.3876586),restaurant,Okra Green,Harbour Road,
POINT (-6.0740601 53.3889325),restaurant,The Bloody Stream,Howth Road,
POINT (-6.2493189 53.4306802),cafe,Leopold,,
POINT (-6.101565 53.547431),pub,The Yacht Bar,Skerries Road,
POINT (-6.092269 53.522087),pub,The Strand,Upper Main Street,Rush
POINT (-6.243041 53.4535461),bar,,,
POINT (-6.0877189 53.5219037),pub,The Carlyann,Lower Main Street,Rush
POINT (-6.2548912 53.3858061),restaurant,School of Nursing Cafe,,
POINT (-6.0507503 53.3857066),cafe,The Cliff Stop,,
POINT (-6.065222 53.384867),cafe,The Country Market,Main Street,Howth
POINT (-6.0652671 53.3858122),restaurant,The House,Main Street,Howth
POINT (-6.2193428 53.4037042),cafe,Butlers Chocolate Cafe,,
POINT (-6.2496298 53.3515053),cafe,Bean & Gone,Amiens Street,
POINT (-6.2336276 53.3528909),theatre,Sean O'Casey Community Centre Theatre,Saint Mary's Road North,Dublin
POINT (-6.248143 53.392791),cafe,Starbucks,,
POINT (-6.2513336 53.3511395),pub,Molloy’s,Talbot Street,Dublin
POINT (-6.2398268 53.4255126),cafe,Oak Café Bar,Dublin Airport,Dublin
POINT (-6.1103732 53.3896691),cafe,Insomnia,Station Road,Sutton
POINT (-6.1488706 53.4865894),cafe,Cates Cafe,Main Street,
POINT (-6.137183 53.4209697),restaurant,Brezzis Pizza,,
POINT (-6.2507754 53.3563652),pub,Cú Chulainn's at Croke Park,Summerhill,Dublin
POINT (-6.2269328 53.351932),cafe,,,Dublin
POINT (-6.2342158 53.3555626),cafe,Cafe 112,,
POINT (-6.1956189 53.3591648),theatre,Viking Theatre @ Connolly's,Clontarf Road,
POINT (-6.2373599 53.446612),restaurant,Pizza Hut,Boroimhe Shopping Centre,Swords
POINT (-6.2338652 53.4275084),bar,Vertigo Bar,East Link Road,Dublin Airport
POINT (-6.2339223 53.4273581),restaurant,Stir Restaurant,East Link Road,Dublin Airport
POINT (-6.2576395 53.3588953),restaurant,Azonto African Restaurant,North Circular Road,Dublin
POINT (-6.2505777 53.3508995),cafe,The Pig & Heifer,Amiens Street,Dublin
POINT (-6.2071646 53.3649725),restaurant,Fahrenheit Grill,,
POINT (-6.1680554 53.486931),cafe,The Lady Betty Cobbe Café,,
POINT (-6.2327649 53.364029),cafe,Green Land Café,Marino Mart,Dublin
POINT (-6.2011743 53.38708),cafe,Insomnia,Coolock Village,Dublin
POINT (-6.153138 53.4520134),restaurant,Siam Thai,,
POINT (-6.2210221 53.4575968),pub,The Forty Four Bar,Main Street,Swords
POINT (-6.2532942 53.3516),arts_centre,The Lab,James Joyce Street,Dublin
POINT (-6.2533756 53.3517157),arts_centre,Design HQ,James Joyce Street,Dublin
POINT (-6.2534375 53.3518061),arts_centre,ArtBox,James Joyce Street,Dublin
POINT (-6.2534733 53.3518692),arts_centre,The Place at the Lab,James Joyce Street,Dublin
POINT (-6.15339 53.4506248),restaurant,Mc Governs Restaurant,,
POINT (-6.2448064 53.3507552),pub,,Sheriff Street Lower,Dublin
POINT (-6.2495274 53.3513204),cafe,Vacant,Amiens Street,
POINT (-6.2494796 53.3513612),bar,The Vaults,Amiens Street,
POINT (-6.2497076 53.3513852),cafe,Oslö,Amiens Street,
POINT (-6.240807 53.4257974),restaurant,Diep Noodle Bar,Dublin Airport,Dublin
POINT (-6.1412099 53.4497245),pub,Island View Bar,Coast Road,Malahide
POINT (-6.0709998 53.3910601),restaurant,Octopussy's Seafood Tapas,West Pier,Howth
POINT (-6.1539474 53.4519977),restaurant,Cape Greko,New Street,
POINT (-6.2190417 53.4606238),restaurant,Sanuk Thai,,
POINT (-6.2566513 53.3573554),restaurant,El Grito Taqueria,Mountjoy Square East,Dublin
POINT (-6.1546126 53.4504768),cafe,Seomra Tae,Main Street,Malahide
POINT (-6.1180099 53.5109341),pub,,,
POINT (-6.1540653 53.4509217),restaurant,The Fish Shack,The Diamond New Street,
POINT (-6.2202731 53.4591961),cafe,Thunders Home Bakery,,
POINT (-6.2206891 53.4584229),restaurant,Fratellis,,
POINT (-6.1822929 53.3610184),restaurant,Fishbone,,
POINT (-6.0636736 53.38823),cafe,East Cafe,,
POINT (-6.2207782 53.4568154),restaurant,Look Mam No Hands!,,
POINT (-6.2186399 53.4537516),cafe,Starbucks,,
POINT (-6.2188513 53.4543883),restaurant,Nando's,Malahide Road,
POINT (-6.2192677 53.4553279),restaurant,Ruby's,,
POINT (-6.2185196 53.4538394),cafe,BBS,,
POINT (-6.222242 53.4555822),restaurant,J2 Sushi & Bento,,
POINT (-6.2273068 53.4460317),cafe,Starbucks,,
POINT (-6.1442931 53.4507137),restaurant,Seabank Bistro,,
POINT (-6.2513919 53.3513605),pub,Robert Reade Bar and Cafe,,
POINT (-6.0722816 53.38997),restaurant,Crabby Jo’s,West Pier,Howth
POINT (-6.153609 53.4503036),cafe,Café Provence,,
POINT (-6.2424962 53.4041271),restaurant,Gourmet Food Parlour,,
POINT (-6.2566673 53.3652832),restaurant,The Lovely Food Company,Drumcondra Road Lower,
POINT (-6.0673833 53.3876822),cafe,The Waggy Tail Tea Rooms,Harbour Road,
POINT (-6.2433295 53.3572675),cafe,Cloud Cafe,North Strand Road,
POINT (-6.1350834 53.4225607),restaurant,,,
POINT (-6.2205332 53.4577049),cafe,Centra,Main Street,Swords
POINT (-6.2500211 53.3923036),restaurant,Nando's,,
POINT (-6.1543968 53.4505088),cafe,Coffee Scene Cafe and Wine Bar,,
POINT (-6.154205 53.4505336),restaurant,The Wild Swan,,
POINT (-6.2501036 53.3516917),pub,McGettigans Cookhouse & Bar,Amiens Street,Dublin
POINT (-6.2535037 53.3847598),cafe,Invent Cafe,,
POINT (-6.2549655 53.3843631),cafe,Library Cafe,,
POINT (-6.2566497 53.3663473),cafe,Anderson's Creperie,Carlingford Road,
POINT (-6.2560322 53.371737),cafe,,,
POINT (-6.2551819 53.3717914),cafe,,,
POINT (-6.246632 53.3774856),pub,McGettigan’s,Swords Road,
POINT (-6.2059734 53.370791),restaurant,Doran's,Howth Road,Dublin
POINT (-6.2058567 53.370807),cafe,Insomnia,Howth Road,
POINT (-6.1960645 53.3600148),cafe,Fuel Fit Food,Vernon Avenue,
POINT (-6.1961257 53.3594326),restaurant,Hemmingway’s,Vernon Avenue,Clontarf
POINT (-6.218842 53.4546611),cafe,Costa,,
POINT (-6.2204148 53.4589191),restaurant,tuk tuk,,
POINT (-6.1956588 53.3642941),cafe,Insomnia,Vernon Avenue,
POINT (-6.2505527 53.3512698),cafe,Roasted Bean Coffee Company,Talbot Street,Dublin
POINT (-6.251978 53.3510339),cafe,The Pantry,Talbot Street,Dublin
POINT (-6.0661797 53.3877339),cafe,Starbucks,Harbour Road,
POINT (-6.2338834 53.4274461),cafe,Red Bean Roastery,,Dublin Airport
POINT (-6.2398039 53.3756229),restaurant,Brass Onion,Sion Hill Road,Dublin
POINT (-6.1405126 53.385596),restaurant,La Gustosa,Dublin Road,Dublin
POINT (-6.0900338 53.5217768),restaurant,DALMAC,,
POINT (-6.0824615 53.5221469),pub,The Harbour Bar,Lower Main Street,Rush
POINT (-6.104735 53.5228101),bar,Martin’s Bar,Old Road,Rush
POINT (-6.1049308 53.5228244),restaurant,Joyous Garden,,
POINT (-6.0975869 53.5226857),bar,Walshe’s Bar,Upper Main Street,Rush
POINT (-6.0981421 53.5227272),bar,The Drop Inn,Upper Main Street,Rush
POINT (-6.1553015 53.3857743),restaurant,Sopranos,,
POINT (-6.1540258 53.3854059),restaurant,Taro Noodles & Sushi Bar,"Greendale Road, Kilbarrack",Dublin
POINT (-6.2182261 53.3627357),cafe,Ebb & Flow Coffee,Clontarf Road,
POINT (-6.2517695 53.351066),cafe,The Pantry,Talbot Street,Dublin
POINT (-6.2567847 53.3651636),cafe,Bread & Butter,Drumcondra Road Lower,
POINT (-6.2216864 53.4555671),cafe,Insomnia,,
POINT (-6.2198106 53.4584752),restaurant,Ko San Thai Gastro Bar,Main Street,Swords
POINT (-6.2238946 53.4455192),restaurant,Hogs and Heifers,,
POINT (-6.2033933 53.453688),cafe,Costa,,
POINT (-6.2511152 53.3514451),cafe,"Laine, my love.",Talbot Street,
POINT (-6.1710943 53.4034509),restaurant,Roberto's,Main Street,
POINT (-6.1705798 53.4038755),restaurant,Yan,Belmayne Avenue,
POINT (-6.2207557 53.4582892),bar,The Betsy,Main Street,Swords
POINT (-6.1533999 53.4024955),restaurant,Romayo's Diner,Main Street,
POINT (-6.1531515 53.4024715),restaurant,Ravello's,Main Street,
POINT (-6.2545966 53.3506022),cafe,Esquires Coffee,Gardiner Street Lower,Dublin
POINT (-6.1644757 53.3945678),cafe,Sima,,
POINT (-6.237465 53.4466879),restaurant,Thaima Asian Cuisine,,Swords
POINT (-6.2502541 53.3933215),cinema,Odeon,,
POINT (-6.2565063 53.354098),restaurant,One Society,Gardiner Street Lower,Dublin
POINT (-6.220945 53.4569344),cafe,Tartan Cafe,Main Street,Swords
POINT (-6.1055992 53.5217102),cafe,,,Rush
POINT (-6.2439182 53.4271336),cafe,AMT,Dublin Airport,Dublin
POINT (-6.1385453 53.4206572),cafe,Il Panorama Cafe,Strand Road,
POINT (-6.2500964 53.351808),cafe,The Parlor,,
POINT (-6.1093977 53.3892895),restaurant,Golden Elephant,Greenfield Road,
POINT (-6.0671969 53.3876706),cafe,Prego,Harbour Road,
POINT (-6.0678695 53.3877162),restaurant,Mamó,Harbour Road,
POINT (-6.068694 53.3877429),restaurant,The Upper Deck,Harbour Road,Howth
POINT (-6.0692653 53.3878549),restaurant,,Harbour Road,
POINT (-6.1106093 53.3887691),restaurant,Cucinos,Sutton Cross,
POINT (-6.110215 53.3887467),bar,The Schooner Bar,Sutton Cross,
POINT (-6.0726897 53.3886226),cafe,Bodega,Harbour Road,
POINT (-6.2215916 53.4591712),restaurant,The Grill House,Unit,
POINT (-6.1469168 53.3993112),bar,The Hot Sandwich Company,"Sweetman House, 41 a, Stapolin, Dublin 13",
POINT (-6.1162251 53.3919148),cafe,,Station Road,
POINT (-6.170361 53.3550225),cafe,Happy Out,,
POINT (-6.0678483 53.3887912),bar,Howth Yacht Club,Middle Pier,Howth
POINT (-6.1751396 53.3793486),cafe,Perkulicious,,
POINT (-6.2446627 53.4274619),cafe,Marqette,Dublin Airport,Swords
POINT (-6.2499344 53.3511788),cafe,Starbucks,,
POINT (-6.2492319 53.3514154),cafe,O'Briens,,
POINT (-6.1540191 53.4516477),cafe,Saint Germain,New Street,
POINT (-6.2102947 53.5407824),cafe,,,
POINT (-6.2170193 53.4124776),cafe,,,
POINT (-6.0704622 53.391574),restaurant,Kish Fish,West Pier,Howth
POINT (-6.2070752 53.3840713),restaurant,Taza,Ardcollum Avenue,Artane
POINT (-6.1614454 53.4025135),cafe,Bru Box,,
POINT (-6.1277165 53.3996439),cafe,Meastrelo,,
POINT (-6.2402403 53.4264407),restaurant,Wright's Deli,Dublin Airport,Dublin
POINT (-6.2397073 53.4262976),cafe,Caffè Nero,Dublin Airport,Dublin
POINT (-6.2394173 53.4262478),bar,Oak Cafe Bar,Dublin Airport,Dublin
POINT (-6.2402151 53.4265395),cafe,Lavazza Meeting Point Cafe,Dublin Airport,Dublin
POINT (-6.1791168 53.378369),pub,Raheny United Clubhouse Bar,All Saints Drive,Raheny
POINT (-6.1271007 53.3979933),pub,The White House,Main Street,Baldoyle
POINT (-6.2485726 53.4304283),bar,Tap + Brew,Dublin Airport,Swords
POINT (-6.2447839 53.4272517),cafe,Starbucks,Dublin Airport,Dublin
POINT (-6.2449777 53.4273783),restaurant,Food Village,Dublin Airport,Dublin
POINT (-6.1798077 53.4023626),cafe,Above ground,,
POINT (-6.1475278 53.3867615),restaurant,Il Fornaio,Kilbarrack Road,Dublin
POINT (-6.2407349 53.4256576),cafe,Butler's Chocolate Cafe,Dublin Airport,Dublin
POINT (-6.2408947 53.4257143),cafe,Café Bar,Dublin Airport,Dublin
POINT (-6.2482782 53.3918243),restaurant,Red Cherry Cafe,,
POINT (-6.1885374 53.3800762),cafe,Ah Gowan Coffee,Harmonstown Road,Dublin
POINT (-6.2484032 53.3918785),restaurant,O’Brien’s,,
POINT (-6.2466431 53.3921579),cafe,Costa,,
POINT (-6.1910433 53.5157041),cafe,Giorgia,,
POINT (-6.2451689 53.3960983),cafe,Costa,Swords Road,Dublin
POINT (-6.1536685 53.4500432),restaurant,Scotch Bonnet,,
POINT (-6.1667289 53.5276841),restaurant,Golden China,,
POINT (-6.1540144 53.4519072),cafe,Gino's Gelato,,
POINT (-6.2457252 53.4264722),restaurant,SoMa,,
"POLYGON ((-6.250855 53.3936315, -6.2501066 53.3935911, -6.2501779 53.3930731, -6.2509443 53.3931167, -6.250855 53.3936315))",cinema,Omniplex Cinema,,
"POLYGON ((-6.1927872 53.3913566, -6.1926123 53.3914507, -6.192216 53.3911887, -6.1921208 53.3912399, -6.1920449 53.3911897, -6.1929751 53.3906894, -6.1934473 53.3910017, -6.1932779 53.3910928, -6.1933926 53.3911687, -6.192902 53.3914325, -6.1927872 53.3913566))",cinema,Odeon Coolock,Malahide Road,Dublin
"POLYGON ((-6.1782922 53.4090633, -6.1783212 53.4088152, -6.1786485 53.4088288, -6.1786194 53.409077, -6.1782922 53.4090633))",pub,The Balgriffin Inn,Malahide Road,Dublin
"POLYGON ((-6.2524587 53.3774328, -6.2524492 53.3774579, -6.2524949 53.377464, -6.2524406 53.3776076, -6.252395 53.3776015, -6.2521988 53.3775768, -6.2522625 53.3774081, -6.2524587 53.3774328))",pub,,,
"POLYGON ((-6.1372804 53.3967523, -6.1368904 53.3968178, -6.1368201 53.3966692, -6.1372101 53.3966036, -6.1372804 53.3967523))",pub,The Racecourse Inn,Grange Road,Baldoyle
"POLYGON ((-6.1888191 53.396724, -6.1886394 53.3966696, -6.1889527 53.3963015, -6.1890456 53.3963296, -6.1890089 53.3963727, -6.1890294 53.3963789, -6.1890458 53.3963596, -6.1891121 53.3963797, -6.1888191 53.396724))",pub,Newtown House,,
"POLYGON ((-6.2163135 53.3669035, -6.2161058 53.3668434, -6.2160829 53.3668709, -6.2161849 53.3668999, -6.2161538 53.3669753, -6.2162857 53.367004, -6.2162863 53.3670115, -6.2161749 53.367018, -6.2161994 53.3671319, -6.2164027 53.367125, -6.2165964 53.3671421, -6.2167095 53.3670137, -6.2163135 53.3669035))",pub,Harry Byrne’s,Howth Road,Dublin
"POLYGON ((-6.2193582 53.3630412, -6.2193837 53.3630457, -6.2194018 53.3630489, -6.2193667 53.3631196, -6.2191442 53.3630801, -6.2191805 53.3630086, -6.2192839 53.3630262, -6.2193027 53.3630314, -6.2193218 53.362993, -6.2193782 53.3629881, -6.2193861 53.3630204, -6.2193678 53.363022, -6.2193582 53.3630412))",restaurant,,,
"POLYGON ((-6.2291051 53.4324987, -6.2292567 53.4325113, -6.2292416 53.4325551, -6.2293705 53.4325704, -6.2294753 53.4322951, -6.2293432 53.4322814, -6.2293127 53.4323587, -6.2290972 53.4323577, -6.2290939 53.4322998, -6.2289083 53.4323036, -6.2289225 53.4325562, -6.2291082 53.4325525, -6.2291051 53.4324987))",pub,Coachmans Inn,Swords Road,Cloghran
"POLYGON ((-6.2297853 53.4251299, -6.2298581 53.4248237, -6.2299789 53.4248339, -6.2299697 53.4248724, -6.2301385 53.4248867, -6.2300748 53.4251543, -6.2297853 53.4251299))",pub,Kealy’s,Swords Road,Cloghran
"POLYGON ((-6.2219527 53.4565968, -6.2220273 53.4563266, -6.2221544 53.4563372, -6.2221425 53.4563874, -6.2223034 53.4564009, -6.2223129 53.4563606, -6.222385 53.4563666, -6.2224369 53.456375, -6.2223995 53.4564782, -6.2224404 53.4564895, -6.2224285 53.4565298, -6.2223812 53.4565332, -6.222376 53.4565671, -6.2224208 53.4565659, -6.2224117 53.4566086, -6.2220719 53.4565925, -6.2220718 53.4566027, -6.2219527 53.4565968))",pub,The Old Borough,Main Street,Swords
"POLYGON ((-6.0731636 53.3894541, -6.0730452 53.3895518, -6.0730123 53.3895376, -6.0728172 53.3894534, -6.0729356 53.3893558, -6.0731636 53.3894541))",restaurant,Ivan's,West Pier,Howth
"POLYGON ((-6.0728325 53.3896859, -6.0726374 53.3896017, -6.0728172 53.3894534, -6.0730123 53.3895376, -6.0728325 53.3896859))",restaurant,Beshoff’s The Market,West Pier,Howth
"POLYGON ((-6.1631379 53.4448471, -6.1631215 53.4449134, -6.1627931 53.4448846, -6.1627857 53.4449148, -6.1628025 53.4449163, -6.162766 53.445064, -6.1627491 53.4450625, -6.1627417 53.4450923, -6.1630702 53.4451211, -6.1630542 53.4451856, -6.1626213 53.4451475, -6.1626371 53.4450836, -6.1626419 53.445084, -6.1626563 53.4450258, -6.1625444 53.445016, -6.1625294 53.4450765, -6.1620799 53.4450371, -6.1621461 53.4447696, -6.1624001 53.4447919, -6.162368 53.4449216, -6.1625635 53.4449388, -6.1625672 53.4449237, -6.1626792 53.4449336, -6.1626933 53.4448763, -6.1626885 53.4448759, -6.1627051 53.4448091, -6.1628094 53.4448183, -6.1631379 53.4448471))",cafe,Avoca,Malahide Castle,Malahide
"POLYGON ((-6.1623474 53.4482456, -6.1621657 53.4482584, -6.1621203 53.4480315, -6.1623021 53.4480186, -6.1623474 53.4482456))",restaurant,,,
"POLYGON ((-6.1108618 53.4948419, -6.1106649 53.49495, -6.1106488 53.4949324, -6.1104523 53.4949747, -6.1104128 53.4949332, -6.1105952 53.4948858, -6.1104993 53.4948227, -6.1104606 53.494848, -6.1104056 53.494813, -6.1106135 53.4946806, -6.1108618 53.4948419))",pub,The Brook,Burrow Road,Portrane
"POLYGON ((-6.1843728 53.561868, -6.184296 53.5618633, -6.18429 53.5620195, -6.1842206 53.5620227, -6.1842166 53.5620647, -6.1841422 53.5620911, -6.1841146 53.5620903, -6.1840214 53.5620874, -6.1840276 53.5620164, -6.1840467 53.5617333, -6.1841214 53.5617321, -6.1842048 53.5617398, -6.1842073 53.5617303, -6.1842932 53.5617383, -6.1843556 53.5617401, -6.1843868 53.5617427, -6.1843728 53.561868))",pub,Man O' War Bar and Restaurant,Old Coach Road,Courtlough
"POLYGON ((-6.213742 53.3840893, -6.2146751 53.3843811, -6.2143885 53.384706, -6.2143042 53.3846805, -6.2142722 53.3847136, -6.214047 53.3846424, -6.2142042 53.384477, -6.213572 53.3842824, -6.213742 53.3840893))",pub,Artane House,,
"POLYGON ((-6.1413493 53.3889258, -6.1410583 53.3890083, -6.1409199 53.3888344, -6.1412109 53.388752, -6.1413493 53.3889258))",pub,The Bayside Inn,Bayside Square North,Sutton
"POLYGON ((-6.2226469 53.4568503, -6.2226924 53.4568444, -6.222705 53.4568523, -6.2228631 53.4568272, -6.2228373 53.4567789, -6.2228708 53.4567737, -6.2228529 53.4567442, -6.2229058 53.456734, -6.2229365 53.4567891, -6.2230244 53.4567726, -6.2229384 53.4566064, -6.2228422 53.456624, -6.2228196 53.4566318, -6.2228047 53.4566139, -6.2226921 53.4566332, -6.2226993 53.4566511, -6.2226251 53.4566635, -6.2226314 53.4566741, -6.2225914 53.4566807, -6.222616 53.4567225, -6.2226428 53.4568051, -6.2226469 53.4568503))",pub,The Old Schoolhouse,Well Road,Swords
"POLYGON ((-6.2204858 53.4577543, -6.2201982 53.4576887, -6.2201087 53.4576683, -6.2200597 53.4577445, -6.2199615 53.4577221, -6.2197441 53.4576725, -6.2196946 53.4577494, -6.2197292 53.4577573, -6.2199144 53.4577995, -6.2204765 53.4579277, -6.2205149 53.457868, -6.2204258 53.4578477, -6.2204858 53.4577543))",pub,The Cock Tavern,Main Street,Swords
"POLYGON ((-6.2199911 53.4582598, -6.220085 53.4581368, -6.2195754 53.4580155, -6.2195003 53.45814, -6.2199911 53.4582598))",restaurant,The Pink Elephant,,
