motorcar,geometry,addr:street,amenity,brand,brand:wikidata,brand:wikipedia,name,operator,addr:housename,opening_hours,operator:wikidata,operator:wikipedia,phone,website,access,fee,parking,addr:city,addr:postal_district,capacity,layer,addr:country,addr:housenumber,payment:account_cards,ref,note,source,covered,level,location,description,payment:contactless,short_name,highway,socket:type2,socket:type2:output,maxstay,socket:chademo,socket:chademo:output,amperage,voltage,socket:type2_combo,socket:type2_combo:output,office,authentication:app,authentication:contactless,charging_station:capacity,authentication:none,charge,socket:combo,socket:combo:output,parking:fee,socket:tesla_supercharger_ccs,socket:tesla_supercharger_ccs:output,manufacturer,authentication:nfc,charging_station:output,nodes
,POINT (-6.4217207 53.2832182),Fortunestown Lane,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,Citywest Shopping Centre,,Q3050566,en:ESB Group,,,yes,yes,,Citywest,D24,2,,,,,C7E19,,,,,,,,,,2,22 kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.2991315 53.3470528),,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,Heuston Station,,Q3050566,en:ESB Group,,,,yes,,Dublin,,2,,,,,C8G3C,,,,,,,,,,2,22kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.1030398 53.2756914),Railway Road,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,Dalkey Train Station,,Q3050566,en:ESB Group,,,,yes,,Dalkey,,2,,,,,C6A6Q,,,,,,,,,,2,22kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.3741897 53.3868296),Mill Road,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,,Q3050566,en:ESB Group,,,,yes,,Blanchardstown,,2,,,,,C8YK0,,,,,,,,,,2,22kW,,,,16,220,,,,yes,yes,,,,,,,,,,,,
yes,POINT (-6.2161981 53.4128246),Stockhole Lane,charging_station,ESB ecars,,,ESB Electric Vehicle Fast Charge Point,ESB ecars,,,Q3050566,en:ESB Group,,,,yes,,Dublin,,2,,,,,C5NLZ,,,,,,,,,,1,43kW,,1,50kW,,,1,50kW,,yes,yes,2,,,,,,,,,,,
,POINT (-6.1791904 53.3026514),,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,24/7,Q3050566,en:ESB Group,+353 1 258 3799,,,yes,,,,2,,,,,C7XJF,,,,,,,,,,2,22kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.2281813 53.3427522),Thorncastle Street,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,24/7,Q3050566,en:ESB Group,,,,yes,,Dublin,,2,,,,,C6AD9,,,,,,,,,,2,22kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.1691518 53.2526689),Glenamuck Road North Roundabout,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,Carrickmines Luas,,Q3050566,en:ESB Group,,,,yes,,Carrickmines,,4,,,,,C8STP;C4X26,,,,,,,,,,4,22kW,,,,,,,,,yes,yes,4,,,,,,,,,,,
,POINT (-6.2576828 53.3353035),,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,,Q3050566,en:ESB Group,+353 1 258 3799,,,yes,,,,2,,,,,C7YZ0,,,,,,,,,,2,22kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.2992687 53.3298793),,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,,Q3050566,en:ESB Group,,,,yes,,,,2,,,,,C8YSR,,,,,,,,,,2,22kW,,,,,,,,,,,,,,,,,,,,,,
yes,POINT (-6.3928286 53.3921581),,charging_station,,,,ESB Electric Vehicle High Power Charge Point,ESB ecars,,,Q3050566,en:ESB Group,,,,yes,,,,3,,,,,C75XM;C7T79,,,,,,,,,,1,22kW,,2,1x 50kW;1x 70kW,,,2,1x 50kW;1x 150kW,,yes,yes,,,,,,,,,,,,
,POINT (-6.5235544 53.3230273),,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,,Q3050566,,,,yes,yes,,,,2,,,,,C8VP7,,,,,,,,,,2,22 kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.4712579 53.4338406),,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,,Q3050566,,,https://esbecars.esb.ie/,yes,yes,,,,2,,,,,C8T0Z,,,,,,,,,,2,22 kW,,,,,,,,,,,,,,,,,,,,,,
yes,POINT (-6.3641669 53.3750449),,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,24/7,Q3050566,en:ESB Group,,,,yes,,,,2,,,,,C8U81,,,,,,,,,,2,22kW,,,,32,230,,,,yes,yes,,,,,,,,,,,,
,POINT (-6.2523121 53.3255171),Chelmsford Road,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,,Q3050566,en:ESB Group,,,,yes,,Dublin,,2,,,,,C7EVH,,,,,,,,,,2,22kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.2480316 53.3380699),,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,,Q3050566,en:ESB Group,+353 1 258 3799,,,yes,,,,2,,,,,C3RQP,,,,,,,,,,2,22kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.2497686 53.3406963),,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,,Q3050566,en:ESB Group,,,,yes,,,,2,,,,,C82EQ,,,,,,,,,,2,22kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.2683709 53.3406211),,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,,Q3050566,en:ESB Group,,,,yes,,,,2,,,,,C7952,,,,,,,,,,2,22kW,,,,,,,,,,,,,,,,,,,,,,
yes,POINT (-6.2669284 53.3339509),,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,24/7,Q3050566,en:ESB Group,+353 1 258 3799,,,yes,,,,2,,,,,C7PH0,,,,,,,,,,2,22kW,,,,,,,,,yes,yes,,,,,,,,,,,,
,POINT (-6.2874217 53.3548687),,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,,Q3050566,en:ESB Group,,,,yes,,,,2,,,,,C7D0Z,,,,,,,,,,2,22kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.226756 53.3628751),,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,,Q3050566,en:ESB Group,,,,yes,,,,2,,,,,C8C5K,,,,,,,,,,2,22kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.2460985 53.3351876),Herbert Street,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,,Q3050566,en:ESB Group,+353 1 258 3799,,,yes,,,,2,,,,,C8XYS,,,,,,,,,,2,22kW,,,,,,,,,,,2,,,,,,,,,,,
yes,POINT (-6.1176845 53.2367422),,charging_station,ESB ecars,,,ESB Electric Vehicle Charge Point,ESB ecars,,,Q3050566,,,https://esbecars.esb.ie/,,yes,,,,2,,,,,C77UD,,,,,,,,,,2,22kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.1852285 53.2512706),,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,,Q3050566,en:ESB Group,,,,yes,,,,2,,,,,C8XR1,,,,,,,,,,2,22kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.103777 53.204953),,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,24/7,Q3050566,en:ESB Group,,,yes,yes,,,,2,,,,,C7SBJ,,,,,,,,,,2,22 kW,,,,32,230,,,,yes,yes,,,,,,,,,,,,
,POINT (-6.2387139 53.3220015),,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,,Q3050566,en:ESB Group,,,,yes,,Dublin,,2,,,,,C5GF2,,,,,,,,,,2,22kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.2033325 53.2954009),,charging_station,,,,ESB Electric Vehicle Fast Charge Point,ESB ecars,,24/7,Q3050566,en:ESB Group,+353 1 258 3799,,,yes,,,,2,,,,,C5PSD,,,,,,,,,,1,43kW,,1,50kW,,,1,50kW,,,,,,,,,,,,,,,
,POINT (-6.1830816 53.3607818),,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,,Q3050566,en:ESB Group,,,,yes,,,,2,,,,,C7WX1,,,,,,,,,,2,22kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.2185272 53.4584537),,charging_station,,,,,Streetcharge,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,32,230,,,,,,,,,,,,,,,,,
,POINT (-6.2235393 53.4542139),,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,,Q3050566,en:ESB Group,,,,yes,,,,2,,,,,C7AJC,,,,,,,,,,2,22kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.1166473 53.3919154),,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,,Q3050566,en:ESB Group,,,permissive,yes,,,,2,,,,,C8LMS,,,,,,,,,,2,22kW,,,,32,230,,,,,,,,,,,,,,,,,
,POINT (-6.2701256 53.3076397),,charging_station,,,,Electric Car Charging,,,,,,,,private,,surface,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.3602762 53.3732234),,charging_station,Lidl,Q151954,,Lidl Electric Vehicle Charger,EasyGo,,,Q110158632,,,https://easygo.ie/,permissive,no,,,,2,,,,,IE*EGO0110,,,,,,,,,,2,22kW,,,,,,,,,yes,yes,,,,,,,,,,,,
,POINT (-6.315411 53.319464),Saint Agnes Road (Crumlin Village),charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,24/7,Q3050566,en:ESB Group,,,,yes,,,,2,,,,,C743W,,,,,,,,,,2,22kW,,,,,,,,,yes,yes,,,,,,,,,,,,
,POINT (-6.137717 53.295686),,charging_station,,,,,Streetcharge,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.1438793 53.2826851),,charging_station,,,,ESB Electric Vehicle Fast Charge Point,ESB ecars,,,Q3050566,en:ESB Group,+353 1 258 3799,,,yes,,,,4,,,,,C8BHW;C85WS,,,,,,,,,,3,1x 43kW;2x 22kW,,1,50kW,,,1,50kW,,,,,,,,,,,,,,,
,POINT (-6.2852943 53.34756),,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,,Q3050566,en:ESB Group,,,,yes,,,,2,,,,,C6X7H,,,,,,,,,,2,22kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.1372499 53.2790048),,charging_station,Lidl,Q151954,,Lidl Electric Vehicle Charger,EasyGo,,,Q110158632,,,https://easygo.ie/,,no,,,,2,,,,,IE*EGO0101,,,,,,,,,,2,22kW,,,,,,,,,yes,yes,,,,,,,,,,,,
,POINT (-6.1391686 53.2774801),,charging_station,,,,Aldi Electric Vehicle Charging Point,Aldi;EasyGo,,"Mo-Fr 09:00-22:00; Sa, Su 09:00-21:00",,,,,,yes,,,,4,,,,,IE*EGO0030,,,,,,,,,,4,7kW;22kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.2895719 53.3583979),,charging_station,Lidl,Q151954,,Lidl Electric Vehicle Charger,EasyGo,,,Q110158632,,,https://easygo.ie/,,no,,,,2,,,,,IE*EGO0119,,,,,,,,,,2,22kW,,,,,,,,,yes,yes,,,,,,,,,,,,
,POINT (-6.1348064 53.2936032),Marine Road,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,24/7,Q3050566,en:ESB Group,+353 1 258 3799,https://www.esb.ie/our-businesses/ecars/ecars-overview,,yes,,,,2,,,,,C57G4,,,,,,,,,,2,22kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.2037081 53.2770948),,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,,Q3050566,en:ESB Group,+353 1 258 3799,,,yes,,,,2,,,,,C6WC1,,,,,,,,,,2,22kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.2586006 53.3521348),,charging_station,,,,LiFe EV,Franklin Energy,,,,,,,permissive,yes,,,,2,,,,,GB175,,,,,,,,,,2,22kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.2332837 53.3560083),,charging_station,,,,Lidl Electric Vehicle Charger,EasyGo,,,Q110158632,,,https://easygo.ie/,,no,,,,2,,,,,IE*EGO0114,,,,,,,,,,2,22kW,,,,,,,,,yes,yes,,,,,,,,,,,,
,POINT (-6.1230902 53.2335315),,charging_station,Lidl,Q151954,,Lidl Electric Vehicle Charger,EasyGo,,,Q110158632,,,https://easygo.ie/,yes,no,,,,2,,,,,IE*EGO0123,,,,,,,,,,2,,,,,,,,,,yes,yes,,,,,,,,,,,,
,POINT (-6.2684727 53.2775014),,charging_station,,,,EV Charging Point,Dún Laoghaire-Rathdown County Council,,,,,,,,no,,,,2,,,,,,,,,,,,,,,2,22kW,,,,,,,,,,,,yes,,,,,,,,,,
,POINT (-6.1300251 53.292819),,charging_station,,,,,,,24/7,,,,,,yes,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yes,POINT (-6.2484956 53.3342855),,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,,Q3050566,en:ESB Group,+353 1 258 3799,,,yes,,,,2,,,,,C8RS6,,,,,,,,,,2,22kW,,,,,,,,,yes,yes,,,,,,,,,,,,
,POINT (-6.1606446 53.2600549),,charging_station,,,,,,,,,,,,,,,,,2,,,,,Dún Laoghaire-Rathdown County Council,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,
yes,POINT (-6.3900076 53.3664685),,charging_station,,,,ecar Charge Point,Castleknock Golf and Country Club,,,,,,,,no,,,,2,,,,,,,,,,,,,,,2,2,,,,32,230,,,,,,,,,,,,,,,,,
,POINT (-6.3962952 53.4951554),Ratoath Road,charging_station,,,,ESB Electric Vehicle Fast Charge Point,ESB ecars,Circle K,,Q3050566,en:ESB Group,,,yes,yes,,Baltrasna,,2,,,,yes,CBJ7V,,,,,,,,,,1,43kW,,1,50kW,,,,,,yes,yes,,,0.33 EUR per kWh,1,50kW,,,,,,,
,POINT (-6.4634219 53.4165403),,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,,Q3050566,,,https://esbecars.esb.ie/,yes,yes,,,,2,,,,,C56Y7,,,,,,,,,,2,22 kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.1063772 53.2041787),,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,,Q3050566,en:ESB Group,,,yes,yes,,,,2,,,,,C3SLV,,,,,,,,,,2,22 kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.1079483 53.202257),,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,,Q3050566,en:ESB Group,,,yes,yes,,,,2,,,,,C79X4,,,,,,,,,,2,22 kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.4699802 53.2812378),,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,,Q3050566,en:ESB Group,,,yes,yes,,,,2,,,,,C774G,,,,,,,,,,2,22 kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.0953062 53.1984311),,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,,Q3050566,en:ESB Group,,,yes,yes,,,,2,,,,,C8N2X,,,,,,,,,,2,22 kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.0986938 53.2034285),,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,,Q3050566,en:ESB Group,,,yes,yes,,,,2,,,,,C8JZ2,,,,,,,,,,2,22 kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.1082583 53.1952024),,charging_station,,,,ESB Electric Vehicle Fast Charge Point,ESB ecars,,,Q3050566,en:ESB Group,,,yes,yes,,,,2,,,,,C9Q9H,,,,,,,,,,1,43kW,,1,50kW,,,1,50kW,,,,,,€0.33/kWh,,,,,,,,,
,POINT (-6.180678 53.1858115),,charging_station,,,,"Ritz Carlton, Powerscourt",Ritz Carlton,,,,,,,customers,no,,,,,,,,,,,,,,,,,,,1,3.6 kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.2150013 53.4454843),,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,,Q3050566,en:ESB Group,,,,yes,,,,2,,,,,TEV001,,,,,,,,,,2,22kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.2328409 53.3388698),,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,24/7,Q3050566,en:ESB Group,,,customers,yes,,,,2,2,,,,C6BES,,GPS,,,,,,,,2,22kW,,,,,230,,,,yes,yes,,,,,,,,,,,,
,POINT (-6.2446643 53.2902901),,charging_station,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.3134953 53.3043471),,charging_station,,,,ESB Electric Vehicle Fast Charge Point,ESB ecars,,,Q3050566,en:ESB Group,+353 1 258 3799,,,yes,,,,2,,,,,C5RZS,,,,,,,,,,1,43kW,,1,50kW,,,1,50kW,,,,,,,,,,,,,,,
yes,POINT (-6.2719622 53.4077515),,charging_station,,,,EasyGo Charging Stations,EasyGo,,,Q110158632,,,https://easygo.ie/,customers,yes,,,,10,,,,,IE*EGO0151,,,,,,,,,,10,,,,,,230,,,,yes,yes,,,,,,,,,,,,
,POINT (-6.3888347 53.3502498),,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,,Q3050566,en:ESB Group,,,permissive,yes,,,,4,,,,,TEV009;TEV010,,,,,,,,,,4,22kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.3781572 53.3019986),,charging_station,Lidl,Q151954,,Lidl Electric Vehicle Charger,EasyGo,,,Q110158632,,,https://easygo.ie/,,no,,,,2,,,,,IE*EGO0121,,,,,,,,,,2,22kW,,,,,,,,,yes,yes,,,,,,,,,,,,
,POINT (-6.2659344 53.2776523),,charging_station,Lidl,Q151954,,Lidl Electric Vehicle Charger,EasyGo,,,Q110158632,,,https://easygo.ie/,permissive,no,,,,2,,,,,IE*EGO0100,,,,,,,,,,2,22kW,,,,,,,,,yes,yes,,,,,,,,,,,,
,POINT (-6.2270152 53.4507517),,charging_station,Lidl,Q151954,,Lidl Electric Vehicle Charger,EasyGo,,,Q110158632,,,https://easygo.ie/,,no,,,,2,,,,only,IE*EGO0116,,,,,,,,,,2,22kW,2 hours,,,,,,,,yes,yes,,,,,,,,,,,,
,POINT (-6.3811261 53.382532),,charging_station,,,,ESB ELectric Vehicle Charge Point,ESB ecars,,,Q3050566,en:ESB Group,,,,yes,,,,2,,,,,TEV006,,,,,,,,,,2,22kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.3531949 53.2877449),,charging_station,Lidl,Q151954,,Lidl Electric Vehicle Charger;The Echo,EasyGo,,,Q110158632,,,https://easygo.ie/,,no,,,,2,,,,,IE*EGO0108,,,,,,,,,,2,22kW,,,,,,,,newspaper,yes,yes,,,,,,,,,,,,
,POINT (-6.3699458 53.285608),,charging_station,,,,ESB Electric Vehicle Fast Charge Point,ESB ecars,,,Q3050566,en:ESB Group,+353 1 258 3799,,yes,yes,,,,4,,,,,C8YSJ;C6NY4,,,,,,,,,,3,22kW,,1,50kW,,,1,50kW,,,,,,,,,,,,,,,
,POINT (-6.299254 53.3601734),,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,,Q3050566,en:ESB Group,,,,yes,,,,2,,,,,TEV002,,,,,,,,,,2,22kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.4196836 53.3843091),,charging_station,Lidl,Q151954,,Lidl Electric Vehicle Charger,EasyGo,,,Q110158632,,,https://easygo.ie/,,no,,,,2,,,,,IE*EGO0159,,,,,,,,,,2,22kW,,,,,,,,,yes,yes,,,,,,,,,,,,
,POINT (-6.2975652 53.2960971),,charging_station,ChargePoint,Q5176149,en:ChargePoint,ChargePoint,ChargePoint,,,Q5176149,en:ChargePoint,,https://www.chargepoint.com/,permissive,yes,,,,4,,,,,,Blue-marked space in front of Dealz shop.,,no,,,,,,,4,22kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.4527757 53.3492407),,charging_station,,,,ESB Electric Vehicle Fast Charge Point,ESB ecars,,,Q3050566,en:ESB Group,,,yes,yes,,,,2,,,,yes,CB52P,,,,,,,,,,1,43kW,,1,50kW,,,,,,yes,yes,,,,1,50kW,no,,,,,,
,POINT (-6.2138426 53.2803534),,charging_station,,,,ESB Electric Vehicle Fast Charge Point,ESB ecars,,,Q3050566,en:ESB Group,+353 1 258 3799,,,yes,,,,6,,,,,C8QYG;C8U19;C5P6M,,,,,,,,,,5,1x 43kW;4x 22kW,,1,50kW,,,1,50kW,,,,,,,,,,,,,,,
,POINT (-6.2124938 53.3538935),,charging_station,,,,ESB Electric Vehicle Fast Charge Point,ESB ecars,,,Q3050566,en:ESB Group,,,,yes,,,,4,,,,,C8MFR;C5M9S,,,,,,,,,,2,1x 43kW;1x 22kW,,2,50kW,,,2,50kW,,,,,,,,,,,,,,,
,POINT (-6.280686 53.3708094),,charging_station,,,,ESB Electric Vehicle Fast Charge Point,ESB ecars,,,Q3050566,en:ESB Group,,,,yes,,,,2,,,,,C5DGF,,,,,,,,,,1,43kW,,1,50kW,,,1,50kW,,,,,,,,,,,,,,,
,POINT (-6.2348686 53.4286649),,charging_station,,,,,ESB ecars,,,Q3050566,en:ESB Group,,,,yes,,,,2,,,,,C96GB,,,,,,,,,,1,43kW,,1,50kW,,,1,50kW,,,,,,,,,,,,,,,
,POINT (-6.1493009 53.2601363),,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,,Q3050566,en:ESB Group,+353 1 258 3799,,,yes,,,,2,,,,,C88XP,,,,,,,,,,2,22kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.1958318 53.3092459),,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,,Q3050566,en:ESB Group,+353 1 258 3799,,,yes,,,,2,,,,,C86D9,,,,,,,,,,2,22kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.1993736 53.2888298),,charging_station,,,,e-Station,Stillorgan Village,,,,,,,yes,no,,,,8,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.2063785 53.3644175),,charging_station,,,,ecar Charge Point,Clontarf Castle,,,,,,,customers,no,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,yes,,,,,,,,,,
,POINT (-6.2540978 53.3607132),,charging_station,,,,ecar Charge Point,Croke Park Hotel,,,,,,,customers,no,,,,1,,,,,,Located in underground car park,,,,indoor,,,,,1,,,,,,,,,,,,,yes,,,,,,,,,,
,POINT (-6.1446193 53.5206363),,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,,Q3050566,en:ESB Group,,,,yes,,,,2,,,,,C81WL,,,,,,,,,,2,22kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.1022571 53.5233863),,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,,Q3050566,en:ESB Group,,,,yes,,,,2,,,,,TEV004,,,,,,,,,,2,22kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.151614 53.4512678),,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,,Q3050566,en:ESB Group,,,,yes,,,,2,,,,,C6LPR,,,,,,,,,,2,22kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.1562292 53.4516932),,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,,Q3050566,en:ESB Group,,,,yes,,,,2,,,,,C8JSB,,,,,,,,,,2,22kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.2386802 53.4282131),,charging_station,,,,Electric Vehicle Charge Point,Dublin Airport Authority,,,,,,,yes,no,,,,5,,,,,,,,,1,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.2420034 53.4159517),,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,,Q3050566,,,https://esbecars.esb.ie/,,yes,,,,2,,,,,C79PY,,,,,,,,,,2,22kW,,,,,,,,,,,,,,,,,,,,,,
